hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,type
1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,insect
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,bird
0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,insect
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,mollusc.et.al
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,mammal
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,mammal
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,insect
0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,amphibian
0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,mollusc.et.al
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,mammal
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,mammal
0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,bird
0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,bird
0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,bird
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,fish
0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,reptile
1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,mammal
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,mammal
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,mammal
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,mammal
0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,bird
0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,mollusc.et.al
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,mammal
1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,mammal
0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,reptile
0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,mollusc.et.al
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,bird
0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,reptile
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,mollusc.et.al
0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,fish
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,mammal
0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,mollusc.et.al
0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,fish
0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,bird
0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,insect
0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,amphibian
0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,reptile
0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,reptile
0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,fish
1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,mammal
1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,mammal
0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,bird
1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,mammal
1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,insect
1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,mammal
0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,mollusc.et.al
0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,bird
